scientificName,mat_change,tap_change,sea_t_change,sea_p_change
Nucifraga_caryocatactes,1.67143380667804,-27.7304584094156,-46.4560755280257,0.0440603971650192
Parus_major,1.70877697235973,-21.5997251447495,-46.8429593727941,0.0499681131333538
Passer_domesticus,1.70894249548991,-21.6320801231108,-46.8308896090458,0.0500109603870303
Passer_montanus,1.70940019474236,-21.6825393662911,-46.8088612861845,0.0501265345135506
Periparus_ater,1.70933304999149,-22.0025449199287,-46.6101854419752,0.0489223401813759
Phasianus_colchicus,1.71166535914222,-21.4584306784783,-46.7908209236829,0.050555166342408
Phoenicurus_ochruros,1.7087007415347,-21.5859824854342,-46.8485610210454,0.0499492035678171
Phoenicurus_phoenicurus,1.70907447085361,-21.6631223303842,-46.8140069747454,0.0500465452050758
Phylloscopus_collybita,1.7087277573085,-21.5829114979619,-46.8485945876186,0.0499516077015889
Phylloscopus_sibilatrix,1.7087509001013,-21.5953869592699,-46.8449788280684,0.0499539166246095
Phylloscopus_trochilus,1.70880407410414,-21.6033649907412,-46.8395502793745,0.0499853294980131
Pica_pica,1.70884037852283,-21.6043459544131,-46.8392926847368,0.0499965797232007
Picus_canus,1.70905842531519,-21.5616634342101,-46.8452436140075,0.0499827374024072
Picus_viridis,1.70938476376313,-21.676873146516,-46.8039646439063,0.0501610727652737
Podiceps_cristatus,1.71989341751929,-22.6511603222617,-46.2493887845498,0.0557101891722698
Poecile_montanus,1.70669244271702,-23.6212503485188,-46.413257964003,0.0479876220407984
Poecile_palustris,1.70878473342167,-21.5894338824638,-46.8431028340523,0.0499719494373981
Prunella_modularis,1.70871802794824,-21.5986525455112,-46.8444072067704,0.0499519169303217
Pyrrhula_pyrrhula,1.70798263626171,-21.9031431076313,-46.6512059323798,0.04859560968776
Rallus_aquaticus,1.71958490749533,-23.576522050605,-46.131645109073,0.0559710097096376
Regulus_ignicapilla,1.69257030701748,-26.3752048526368,-46.1996835361408,0.0450970023747606
Regulus_regulus,1.70512972607957,-23.2828100705385,-46.5289820008946,0.0489256317980646
Saxicola_rubetra,1.70835937132896,-21.6581639081304,-46.8391751227244,0.0499094581986463
Serinus_serinus,1.70885446575894,-21.6073844153819,-46.8364525433513,0.0499973138424361
Sitta_europaea,1.70886528447287,-21.6133597398823,-46.8365319726451,0.0499932027640958
Spinus_spinus,1.69774854207165,-23.6955421491732,-46.5348350761444,0.0466275417315296
Streptopelia_decaocto,1.70951171939834,-21.7010277638181,-46.8034904315365,0.0501052273597951
Streptopelia_turtur,1.70896608885742,-21.5927684612909,-46.8424184787249,0.0499961290214903
Strix_aluco,1.70866699098403,-21.6221907292734,-46.8203263993337,0.0498103696177551
Sturnus_vulgaris,1.70868979516118,-21.590094267643,-46.847358960503,0.0499503402485352
Sylvia_atricapilla,1.70873423528745,-21.591721143779,-46.8458489635825,0.0499614034686816
Sylvia_borin,1.70943622331676,-21.6903154325452,-46.7290852985238,0.0499317285770535
Tachybaptus_ruficollis,1.71512407762486,-22.0928593226336,-46.2938541713013,0.0542103872596823
Troglodytes_troglodytes,1.7088445507234,-21.6092313545611,-46.8377302456056,0.0499971546242549
Turdus_merula,1.70870145663589,-21.5868323786421,-46.8481483235048,0.0499502666975633
Turdus_philomelos,1.70876816808572,-21.6009967974485,-46.8428444869988,0.0499653444492122
Turdus_pilaris,1.70782718569066,-21.7141783051569,-46.8616399268406,0.0497982078238699
Turdus_viscivorus,1.697860636389,-24.2787977222954,-46.5936111531603,0.0476340092704187
Vanellus_vanellus,1.71077303362702,-22.0280410421367,-46.6871063662713,0.0508219994477082
Curruca_nisoria,1.75888158792683,-10.8308295860727,-48.9558522399294,0.0522645326080185
Falco_peregrinus,1.69190764852428,-20.7853141774335,-47.8733596258577,0.0473184596029449
Oriolus_oriolus,1.7335060835195,-18.7190331006006,-46.9988888896441,0.0520916729220727
Pernis_apivorus,1.70540871594734,-22.8413285740061,-46.8537978960996,0.0493767064563231
Saxicola_torquatus,1.70797070455015,-20.6381050701096,-48.7457857100085,0.043692240739718
Scolopax_rusticola,1.70192425280859,-23.5460279156954,-46.42689376665,0.0483352095391425
Spatula_querquedula,1.71569394794183,-25.4851599527513,-46.1286023757257,0.0571332503703507
Tyto_alba,1.71559820277662,-20.7987079872793,-46.8869351572602,0.0501835378046383
Circus_pygargus,1.70938869641868,-24.4189827459871,-45.9620543256689,0.0511965554725665
Corvus_frugilegus,1.78936894750563,-1.29517808469194,-49.4799398041113,0.0441731942338474
Lanius_excubitor,1.6999166540412,-26.9244656017053,-45.8582889436586,0.0507012715768131
Oenanthe_oenanthe,1.70652928909805,-22.7127472716983,-46.3841242023095,0.0518219739383721
Perdix_perdix,1.71033051080671,-23.4319031141818,-46.2862415320779,0.0510738443129962
Remiz_pendulinus,1.73240989500237,-22.7222575225397,-46.3504258780579,0.0548817672496837
Tringa_ochropus,1.69810168237501,-22.9882947406336,-47.9426965458135,0.0628502878025698
Acanthis_flammea,1.6849909945376,-26.982247977136,-44.9223202229462,0.0581582160439891
Anas_crecca,1.71645438074768,-25.1751870178403,-45.8325562859339,0.0573253544388914
